,word,xG
0,aback,3.4997972478292954
1,abase,4.57722421815027
2,abate,4.618778687692634
3,abbey,3.925269878738657
4,abbot,3.9759167481114566
5,abhor,4.5989941756424715
6,abide,4.892736234422047
7,abled,4.877557770582956
8,abode,4.867607224004113
9,abort,5.093383974972389
10,about,4.684038555487749
11,above,4.498238036381725
12,abuse,4.97390201368156
13,abyss,3.632930656836984
14,acorn,5.157414643861596
15,acrid,4.913838513905387
16,actor,5.215558464682017
17,acute,5.236997187370035
18,adage,4.336078541630812
19,adapt,4.113996957961628
20,adept,4.916683671199203
21,admin,4.448137151481983
22,admit,4.613185259230298
23,adobe,4.839347128478255
24,adopt,4.734122281986869
25,adore,5.436591795040292
26,adorn,5.0507164050497275
27,adult,4.877752164015115
28,affix,2.864068732570825
29,afire,5.251655062821903
30,afoot,4.111006367906779
31,afoul,4.5219904246403075
32,after,5.142521570634272
33,again,4.170502783860402
34,agape,4.285869011584831
35,agate,4.63984845523067
36,agent,5.086925262169486
37,agile,5.271011669550529
38,aging,3.8425054207029916
39,aglow,4.235193075160372
40,agony,4.5830621804861
41,agora,4.242352495101328
42,agree,4.7673241299855285
43,ahead,4.301315193906127
44,aider,5.40155099324353
45,aisle,5.637473610371489
46,alarm,4.453452871191432
47,album,4.282923983935651
48,alert,5.746717163925752
49,algae,4.641542993674371
50,alibi,3.992961135552453
51,alien,5.608875248733519
52,align,4.91333401542315
53,alike,5.178529523923904
54,alive,5.070018051305524
55,allay,3.618874267060307
56,alley,4.60274238375242
57,allot,4.6546656766775
58,allow,3.9679986029987986
59,alloy,4.2788267084666165
60,aloft,4.926252114438641
61,alone,5.6136177902092985
62,along,4.865051038727143
63,aloof,4.071442995816319
64,aloud,4.84926378646386
65,alpha,3.8981011309269107
66,altar,4.810295769682527
67,alter,5.713151803940924
68,amass,3.426533056734296
69,amaze,3.7748023586428707
70,amber,4.862577119786177
71,amble,4.8548113654137195
72,amend,4.794973602868264
73,amiss,4.050474884232613
74,amity,4.674682788738226
75,among,4.4226824310481945
76,ample,4.954854317022474
77,amply,4.30227159367178
78,amuse,5.048866745628603
79,angel,5.140505813750424
80,anger,5.191051491362421
81,angle,5.184842153327432
82,angry,4.663736336931854
83,angst,4.865597267552395
84,anime,5.1778675985408755
85,ankle,4.999344526914286
86,annex,3.814502614194003
87,annoy,4.0845183458827625
88,annul,4.162078267160023
89,anode,5.2531154692668585
90,antic,4.883036288404919
91,anvil,4.560703331780677
92,aorta,4.752133936682401
93,apart,4.625558848493274
94,aphid,4.304294580956029
95,aping,4.476319931851539
96,apnea,4.4633292269975255
97,apple,4.474315440753281
98,apply,3.811442542324527
99,apron,5.028111274975848
100,aptly,4.725808074689388
101,arbor,4.367755561390813
102,ardor,4.502524861875295
103,arena,4.889751311614621
104,argue,5.219135704668673
105,arise,5.822087003960458
106,armor,4.415073049409677
107,aroma,4.348604992226324
108,arose,5.768966951505785
109,array,3.855696749731766
110,arrow,4.199507426612272
111,arson,5.3409173729675095
112,artsy,5.218342196563433
113,ascot,4.9836664932662575
114,ashen,5.014408423942914
115,aside,5.19150209058776
116,askew,4.289768662865989
117,assay,3.3876054873132757
118,asset,4.760949358213518
119,atoll,4.584441570088977
120,atone,5.55711753699745
121,attic,4.1909212470581
122,audio,4.5887006633682175
123,audit,4.880995378901967
124,augur,4.037807980685138
125,aunty,4.775307505164058
126,avail,4.06202314547715
127,avert,5.0876082191355625
128,avian,3.9420753487099325
129,avoid,4.329915577264253
130,await,4.247075274046051
